dataset,failure_mode,method,alarm_alpha,drop_alpha,detection_delay,baseline_acc
pima,covariate_shift,conformal,0.8,0.5,0.3,0.7013
pima,covariate_shift,ngboost,0.7,0.5,0.2,0.7013
pima,covariate_shift,mcdropout,0.8,0.5,0.3,0.7013
pima,covariate_shift,tabtransformer,0.7,0.5,0.2,0.7013
pima,label_noise,conformal,,0.1,,0.7013
pima,label_noise,ngboost,,0.1,,0.7013
pima,label_noise,mcdropout,,0.1,,0.7013
pima,label_noise,tabtransformer,,0.1,,0.7013
pima,feature_missingness,conformal,,,,0.7013
pima,feature_missingness,ngboost,,,,0.7013
pima,feature_missingness,mcdropout,,,,0.7013
pima,feature_missingness,tabtransformer,,,,0.7013
cleveland,covariate_shift,conformal,,0.3,,0.8667
cleveland,covariate_shift,ngboost,,0.3,,0.8667
cleveland,covariate_shift,mcdropout,,0.3,,0.8667
cleveland,covariate_shift,tabtransformer,,0.3,,0.8667
cleveland,label_noise,conformal,,0.1,,0.8667
cleveland,label_noise,ngboost,,0.1,,0.8667
cleveland,label_noise,mcdropout,,0.1,,0.8667
cleveland,label_noise,tabtransformer,,0.1,,0.8667
cleveland,feature_missingness,conformal,,,,0.8667
cleveland,feature_missingness,ngboost,,,,0.8667
cleveland,feature_missingness,mcdropout,,,,0.8667
cleveland,feature_missingness,tabtransformer,,,,0.8667
